material_id,ce_entropy,n_distinct_envs,dominance,gini,ce_symbols,n_sites_ce
mp-1080476,0.5623351446188083,2,0.75,0.25,"{""I:12"": 2, ""UNKNOWN:14"": 6}",8
mp-976802,0.6365141682948128,2,0.6666666666666666,0.1666666666666665,"{""O:6"": 2, ""S:4"": 4}",6
mp-20410,0.5004024235381879,2,0.8,0.3,"{""UNKNOWN:16"": 2, ""TL:3"": 8}",10
mp-979421,-0.0,1,1.0,0.0,"{""UNKNOWN:14"": 4}",4
mp-1282794,1.564957250242801,5,0.3076923076923077,0.1538461538461539,"{""T:6"": 2, ""O:6"": 3, ""TY:3"": 2, ""SS:4"": 2, ""T:4"": 4}",13
mp-1224057,-0.0,1,1.0,0.0,"{""O:6"": 12}",12
mp-1247109,0.5982695885852573,2,0.7142857142857143,0.2142857142857144,"{""O:6"": 4, ""T:4"": 10}",14
mp-22173,1.3321790402101223,4,0.4,0.1500000000000001,"{""O:6"": 4, ""T:4"": 8, ""TL:3"": 4, ""TY:3"": 4}",20
mp-1101415,1.7346687950803543,7,0.3684210526315789,0.3458646616541354,"{""T:5"": 2, ""FO:7"": 2, ""C:8"": 3, ""BS_2:10"": 7, ""ET:7"": 1, ""TBSA:10"": 1, ""T:4"": 3}",19
mp-1185048,-0.0,1,1.0,0.0,"{""UNKNOWN:14"": 4}",4
mp-974426,-0.0,1,1.0,0.0,"{""AC:12"": 8}",8
mp-807581,2.276422685805818,11,0.2,0.2636363636363636,"{""TS:3"": 4, ""BO_3:8"": 2, ""BO_1:8"": 1, ""T:4"": 1, ""A:2"": 2, ""FO:7"": 2, ""SS:4"": 3, ""TY:3"": 2, ""O:6"": 1, ""S:1"": 1, ""S:5"": 1}",20
mp-752514,1.3296613488547582,4,0.3333333333333333,0.1666666666666665,"{""O:6"": 8, ""T:4"": 4, ""T:5"": 8, ""S:5"": 4}",24
mp-601846,0.9164648855394713,3,0.5454545454545454,0.3030303030303032,"{""C:12"": 6, ""DI:11"": 4, ""C:8"": 1}",11
mp-558850,1.9072839993213788,7,0.1666666666666666,0.1190476190476188,"{""PBP:12"": 2, ""DDPN:8"": 2, ""O:6"": 4, ""BO_1:8"": 4, ""L:2"": 4, ""TS:3"": 4, ""A:2"": 4}",24
mp-487,0.5004024235381879,2,0.8,0.3,"{""O:6"": 2, ""T:4"": 8}",10
mp-1035624,-0.0,1,1.0,0.0,"{""O:6"": 32}",32
mp-1202384,1.0469879295064308,5,0.6470588235294118,0.5529411764705885,"{""O:6"": 2, ""HB:8"": 2, ""S:1"": 44, ""TL:3"": 8, ""A:2"": 12}",68
mp-3352,1.039720770839918,3,0.5,0.1666666666666667,"{""SH:13"": 4, ""TT_1:9"": 4, ""DI:11"": 8}",16
mp-1176037,-0.0,1,1.0,0.0,"{""O:6"": 32}",32
mp-569961,1.794917310517627,7,0.3157894736842105,0.2857142857142858,"{""S:5"": 4, ""T:6"": 2, ""PB:7"": 2, ""TL:3"": 2, ""L:2"": 1, ""S:1"": 6, ""A:2"": 2}",19
mp-1103604,1.3296613488547582,4,0.3333333333333333,0.1666666666666665,"{""T:6"": 4, ""T:4"": 2, ""SBSA:10"": 2, ""PBP:12"": 4}",12
mp-10086,1.0986122886681096,3,0.3333333333333333,0.0,"{""TT_1:9"": 2, ""SH:13"": 2, ""C:12"": 2}",6
