family,n,r_squared,adj_r_squared,f_pvalue,p_fdr,sig_fdr,reliability_tier
Mn-oxide,25,0.7300247293805356,0.6589786055333082,6.893996458237366e-05,0.00011281085113479326,True,exploratory
Co-oxide,23,0.6109930381879354,0.49657922589026926,0.003944366943791481,0.005071328927731904,True,exploratory
Sm-compound,19,0.5880900253464951,0.42966311201822405,0.026253579377108902,0.029535276799247518,True,exploratory
Nd-compound,51,0.48031764906199137,0.42257516562443487,1.2468244168077638e-05,2.4936488336155276e-05,True,moderate
Fe-oxide,21,0.4316035003405615,0.24213800045408207,0.0994338991854392,0.10528295207870032,False,exploratory
Bi-oxide,41,0.3290643551615462,0.23321640589891002,0.012534838322790188,0.015041805987348226,True,exploratory
Na-ion (Na),247,0.30218687522768994,0.2877094245062728,2.5577870013370378e-17,1.151004150601667e-16,True,robust
Li-ion (Li),856,0.2807434718214884,0.27651255106749717,1.4888700133703669e-58,2.6799660240666605e-57,True,robust
ZnO family,75,0.24759064257246133,0.19306822536756718,0.001227340446689126,0.0016993944646464822,True,moderate
La-oxide,346,0.2468210140429078,0.23574485248471533,2.509842896720173e-19,1.5059057380321037e-18,True,robust
Sr-titanate,444,0.2157675899106123,0.20681516513790243,1.9312631826864035e-21,1.7381368644177633e-20,True,robust
Mg-compound,148,0.20834564945993295,0.18047049627190248,2.9697040874091527e-06,6.681834196670594e-06,True,moderate
Alkali (K),112,0.18525693526327236,0.1468256586247474,0.0005194994982639868,0.0007792492473959802,True,moderate
Ca-compound,225,0.1840089663566461,0.16537903408168375,1.568745517226759e-08,4.0339170442973796e-08,True,robust
Other,226,0.18341024110498272,0.16485138294827784,1.5389795991063586e-08,4.0339170442973796e-08,True,robust
Cu-oxide,19,0.16626059999068,-0.15440840001290468,0.7581015930364795,0.7581015930364795,False,exploratory
Y-oxide,189,0.14650427790526832,0.12318472265677838,2.095884242001546e-05,3.772591635602783e-05,True,moderate
Ba-titanate,493,0.1056258240886393,0.09644333768297841,1.6307883759688765e-10,5.870838153487955e-10,True,robust
