doi,target_formula,paragraph_string,synthesis_type,n_precursors,precursor_formulas,precursor_elements,n_operations,temperatures_C,times_h,precursor_count,precursor_diversity,n_steps,max_temperature_C,total_time_h,complexity_index,formula,band_gap,formation_energy_per_atom,energy_above_hull,density,volume
10.1149/1.1601228,LiAlO2,Spinel LiMn2O4 was synthesized by solid-state reac <...> n at 120 °C and calcined at 600 °C in air for 5 h.,solid-state,3,"['LiNO3', 'Al(NO3)3·9H2O', 'NH4OH']","['Al', 'H', 'Li', 'N', 'O']",9,"[800.0, 75.0, 120.0, 600.0]","[24.0, 1.5, 5.0]",3.0,5.0,9.0,800.0,30.5,-0.1424447666928899,LiAlO2,6.1183,-3.096943435208333,0.0,3.442778640368225,31.795526085917224
10.1149/1.2969412,LiMn2O4,"The polymer gel electrolyte was prepared according <...> g, China, and has a BET surface area of 1500m2∕g .",solid-state,2,"['LiOH', 'MnO2']","['H', 'Li', 'Mn', 'O']",5,[750.0],"[24.0, 12.0]",2.0,4.0,5.0,750.0,36.0,-0.7354119525544455,LiMn2O4,0.42689999999999906,-2.0681063427422,0.0,4.039450477596829,148.65876347556787
10.1149/1.2006509,Li2TiO3,"Lithium titanium oxide, Li4Ti5O12, was obtained th <...> onversion of high-temperature Mn(III) into Mn(IV).",solid-state,2,"['TiO2', 'LiOH·H2O']","['H', 'Li', 'O', 'Ti']",6,[],[],2.0,4.0,6.0,,,,Li2TiO3,3.0338,-2.981954403333334,0.0,3.46303787960749,210.4967018964505
10.1149/1.2006509,LiMn2O4,"Lithium titanium oxide, Li4Ti5O12, was obtained th <...> onversion of high-temperature Mn(III) into Mn(IV).",solid-state,2,"['LiNO3', 'MnO2']","['Li', 'Mn', 'N', 'O']",6,[],[],2.0,4.0,6.0,,,,LiMn2O4,0.42689999999999906,-2.0681063427422,0.0,4.039450477596829,148.65876347556787
10.1149/2.047112jes,Li2FeSiO4,In order to examine the effect of molten carbonate <...> 100 K lower than that of the solid state reaction.,solid-state,2,"['Li2SiO3', 'Fe']","['Fe', 'Li', 'O', 'Si']",1,[499.85],[13.0],2.0,4.0,1.0,499.85,13.0,-1.238356917287415,Li2FeSiO4,3.123599999999999,-2.563266433645833,0.0,3.312314492741815,324.4764263891368
10.1149/2.051201jes,Na2Ti3O7,"Three kinds of alkaline titanate precursors, Na2Ti <...> ea and porosity analyzer (Shimadzu, TriStar 3000).",solid-state,2,"['Na2CO3', 'TiO2']","['C', 'Na', 'O', 'Ti']",5,"[1000.0, 500.0]","[24.0, 0.5]",2.0,4.0,5.0,1000.0,24.5,-0.618753325371012,Na2Ti3O7,2.9953000000000003,-3.160181039813217,0.0,3.456687956033042,289.7451538065769
10.1149/2.009301jes,Na4Ti5O12,Both nano-sized and bulk-sized trigonal Na4Ti5O12  <...> rom the SEM and TEM images of nanosized Na4Ti5O12.,solid-state,2,"['TiO2', 'Na2CO3']","['C', 'Na', 'O', 'Ti']",4,[900.0],[],2.0,4.0,4.0,900.0,,,Na4Ti5O12,2.4744,-3.107293959151615,0.0,3.72110954050869,233.51591589482908
10.1039/C1CY00199J,YFeO3,Fe2O3 and Y2O3 were used as starting materials to  <...> trategy although it is thermodynamically unstable.,solid-state,2,"['Y(NO3)3', 'Fe(NO3)3']","['Fe', 'N', 'O', 'Y']",0,[],[],2.0,4.0,0.0,,,,YFeO3,0.0,-2.821769901999999,0.008711735874999,5.066710990725307,252.68252178655933
10.1039/C5CY00979K,SrTiO3,The particles of SrTiO3:Rh(2%) were prepared via t <...> amples by means of in situ photodeposition method.,solid-state,2,"['SrCO3', 'TiO2']","['C', 'O', 'Sr', 'Ti']",13,"[80.0, 1000.0, 1000.0]","[1.0, 0.25, 3.0, 10.0, 10.0]",2.0,4.0,13.0,1000.0,24.25,-0.1062607816501722,SrTiO3,1.848799999999999,-3.551662291666667,0.0,5.093987781835845,119.62507795144641
10.1039/C5CY00128E,SrTiO3,"Strontium titanate doped with rhodium species (SrT <...> urce, according to the method reported previously.",solid-state,2,"['SrCO3', 'TiO2']","['C', 'O', 'Sr', 'Ti']",3,"[999.85, 599.85, 299.85]","[10.0, 2.0, 2.0]",2.0,4.0,3.0,999.85,14.0,-0.7866123617058923,SrTiO3,1.848799999999999,-3.551662291666667,0.0,5.093987781835845,119.62507795144641
