label,n,r_squared,adj_r_squared,target
family=Alkali (K),112,0.18525693526327236,0.1468256586247474,band_gap
family=Ba-titanate,488,0.10830706364644271,0.09905713692078344,band_gap
family=Bi-oxide,40,0.2157164846421029,0.10038067356005931,band_gap
family=Ca-compound,223,0.2519769902750143,0.23474143705554462,band_gap
family=Co-oxide,23,0.6109930381879354,0.49657922589026926,band_gap
family=Cu-oxide,19,,,band_gap
family=Fe-oxide,21,0.4316035003405615,0.24213800045408207,band_gap
family=La-oxide,346,0.2468210140429078,0.23574485248471533,band_gap
family=Li-ion (Li),853,0.31016158319468745,0.3060893375228734,band_gap
family=Mg-compound,147,0.20739756376689944,0.17929109439693136,band_gap
family=Mn-oxide,25,0.7300247293805356,0.6589786055333082,band_gap
family=Na-ion (Na),246,0.2976934246628493,0.2830620376766587,band_gap
family=Nd-compound,50,0.5701122698670187,0.5212613914428164,band_gap
family=Other,223,0.20295928831502208,0.18459429495822532,band_gap
family=Sm-compound,19,,,band_gap
family=Sr-titanate,439,0.19822647502144175,0.18896812022954157,band_gap
family=Titanate,42,,,band_gap
family=Y-oxide,189,0.14650427790526832,0.12318472265677838,band_gap
family=ZnO family,74,0.2536684333751611,0.19879111229980528,band_gap
