material_id,formula_pretty,energy_above_hull,is_stable,theoretical,has_icsd,nsites,nelements,crystal_system,space_group,chemsys,elements,synth_class,synthesizable,ce_entropy,n_distinct_envs,dominance,gini,ce_symbols,n_sites_ce
mp-1101314,Tb3TaO7,0.0,True,True,False,22,3,Orthorhombic,C222_1,O-Ta-Tb,"['O', 'Ta', 'Tb']",0,0,2.019814992492946,8,0.1818181818181818,0.1704545454545454,"{""PB:7"": 4, ""C:8"": 2, ""O:6"": 2, ""TBT:8"": 2, ""TI:9"": 2, ""S:4"": 4, ""T:5"": 2, ""BO_2:8"": 4}",22
mp-1105566,KLaMnWO6,0.0,True,True,True,20,5,Monoclinic,P2_1,K-La-Mn-O-W,"['K', 'La', 'Mn', 'O', 'W']",0,0,1.7480673485460891,7,0.4,0.2571428571428573,"{""BS_2:10"": 2, ""TT_2:9"": 2, ""O:6"": 8, ""FO:7"": 2, ""SS:4"": 2, ""SBSA:10"": 2, ""L:2"": 2}",20
mp-1079540,La(SbPd)2,0.0,True,False,True,10,3,Tetragonal,P4/nmm,La-Pd-Sb,"['La', 'Pd', 'Sb']",0,1,1.3321790402101223,4,0.4,0.1500000000000001,"{""UNKNOWN:16"": 2, ""DD:8"": 4, ""SMA:9"": 2, ""T:5"": 2}",10
mp-1014251,HfZnN2,0.0,True,True,False,4,3,Trigonal,P3m1,Hf-N-Zn,"['Hf', 'N', 'Zn']",0,0,0.6931471805599453,2,0.5,0.0,"{""O:6"": 2, ""T:4"": 2}",4
mp-1095658,Tb2Au,0.0,True,False,True,12,2,Orthorhombic,Pnma,Au-Tb,"['Au', 'Tb']",0,1,1.0986122886681096,3,0.3333333333333333,0.0,"{""C:12"": 4, ""SH:13"": 4, ""TT_1:9"": 4}",12
mp-1095573,NbCoSi,0.0,True,False,True,12,3,Orthorhombic,Pnma,Co-Nb-Si,"['Co', 'Nb', 'Si']",0,1,1.0986122886681096,3,0.3333333333333333,0.0,"{""SH:13"": 4, ""C:12"": 4, ""TT_1:9"": 4}",12
mp-569270,V3B4,0.0,True,False,True,7,2,Orthorhombic,Immm,B-V,"['B', 'V']",0,1,0.9556998911125344,3,0.5714285714285714,0.2857142857142856,"{""HP:12"": 1, ""DI:11"": 2, ""TT_1:9"": 4}",7
mp-1223228,La2CuSi3,0.0,True,True,False,6,3,Hexagonal,P-6m2,Cu-La-Si,"['Cu', 'La', 'Si']",0,0,0.6365141682948128,2,0.6666666666666666,0.1666666666666665,"{""HP:12"": 2, ""TT_1:9"": 4}",6
mp-18561,Ga2AsRh5,0.0,True,False,True,16,3,Orthorhombic,Pbam,As-Ga-Rh,"['As', 'Ga', 'Rh']",0,1,1.559581156259877,5,0.25,0.1500000000000001,"{""BS_2:10"": 4, ""C:8"": 2, ""SH:13"": 4, ""C:12"": 4, ""UNKNOWN:14"": 2}",16
mp-1206799,Ba(GaH)2,0.0,True,False,True,5,3,Trigonal,P-3m1,Ba-Ga-H,"['Ba', 'Ga', 'H']",0,1,0.5004024235381879,2,0.8,0.3,"{""O:6"": 1, ""S:1"": 4}",5
mp-7352,MgCuP,0.0,True,False,True,12,3,Orthorhombic,Pnma,Cu-Mg-P,"['Cu', 'Mg', 'P']",0,1,1.0986122886681096,3,0.3333333333333333,0.0,"{""SH:13"": 4, ""C:12"": 4, ""TT_1:9"": 4}",12
mp-866615,CsAg2AsS3,0.0,True,False,True,28,4,Monoclinic,P2_1/c,Ag-As-Cs-S,"['Ag', 'As', 'Cs', 'S']",0,1,1.945910149055313,7,0.1428571428571428,0.0,"{""SA:8"": 4, ""T:6"": 4, ""T:5"": 4, ""T:4"": 4, ""SS:4"": 4, ""A:2"": 4, ""TY:3"": 4}",28
