element,mean_entropy,median_entropy,sd_entropy,n_structures
Ac,0.2223282577905726,0.0,0.3667549656702116,10
Ag,0.9921759186581355,1.039720770839918,0.6263598092229581,134
Al,1.0082843661230365,1.078992207877583,0.5845055597174722,219
As,1.187553669648852,1.2015591547737914,0.49524537212803654,145
Au,0.9020380561105669,0.972597085902505,0.5376214138695803,78
B,1.1928452682115784,1.2718947479498848,0.45958467155686383,190
Ba,1.3416374315090518,1.4270610433807245,0.5548280902828515,236
Be,0.8088364483632046,0.991138896613094,0.6421498974835145,44
Bi,1.243209785292611,1.2530538783880483,0.596280535384552,146
Br,1.3058015944306869,1.3296613488547582,0.4206794409618392,97
C,1.1197862806074392,1.0727396460638965,0.47276583468708555,219
Ca,1.1974799901866895,1.2829557813540233,0.5510902259856594,250
Cd,0.8497950432913582,1.0114042647073518,0.6151436020271795,108
Ce,1.0201312975665413,1.0549201679861442,0.593968367130942,102
Cl,1.2800999286301922,1.2227793161934692,0.45189543354066325,185
Co,0.9218708199110344,1.039720770839918,0.6246589505077073,321
Cr,1.019388752131191,1.1537419427010902,0.6011586957082752,205
Cs,1.1651877875047207,1.0748784612516225,0.43690315962499493,124
Cu,1.12054150509403,1.2130075659799042,0.5726269392673751,317
Dy,1.1530602533675656,1.1490596969706202,0.5032190526515307,89
Er,1.0192098218288688,1.0806749284125527,0.6319062455781795,60
Eu,1.0699241147407539,1.039720770839918,0.5421950362973856,78
F,1.3661245471508896,1.3862943611198906,0.4918733541706742,374
Fe,1.1877220805045172,1.3063091195328942,0.5634954355102051,384
Ga,0.9245864315555842,1.039720770839918,0.5988192110892785,149
Gd,0.9693326543226736,1.0986122886681096,0.617195541694561,58
Ge,1.1591102625412375,1.0986122886681096,0.5226216753805523,151
H,1.2170140783532852,1.246124557818411,0.413588867406293,240
Hf,0.8018446887914237,0.8395786350813544,0.6059245452358747,70
Hg,0.8239890976671725,0.9502705392332348,0.5861311434517236,76
Ho,1.010840778713492,1.0986122886681096,0.6526556288025624,52
I,1.2047528884477576,1.2130075659799042,0.43966540973200385,101
In,0.8903728913564014,0.9529852151728846,0.6255967492383997,110
Ir,0.963519644022085,1.0549201679861442,0.6753144513082492,66
K,1.3100083574083068,1.350044689985175,0.523006791290129,256
La,1.1661026913816945,1.2406842919533958,0.5819621758572403,171
Li,0.951855312723893,1.0114042647073518,0.6889166782636712,587
Lu,0.7776781946428064,0.6730116670092565,0.7037749358565273,55
Mg,0.9614633488328241,1.0792608906015508,0.7844809751537011,554
Mn,1.0034809400703388,1.0986122886681096,0.6697655067988755,371
Mo,1.3030585620381785,1.4180693652516905,0.5712954672784819,131
N,1.1467591498203966,1.1172079296246138,0.45456639600050197,322
Na,1.243226877283993,1.3361758489971347,0.576474865294217,233
Nb,1.1762289918059528,1.201015405626358,0.6961509151206524,154
Nd,1.100713513537799,1.155809927324007,0.6572596940184411,100
Ni,1.0581402588230193,1.0986122886681096,0.558560066312318,243
Np,0.4895396739161145,0.0,0.6022446797185483,14
O,1.2625977697781288,1.3321790402101223,0.5387103238533256,2221
Os,0.6510810596630758,0.7599064571730505,0.5593675410867236,46
P,1.3512628881304105,1.4070821776010662,0.43135245379956616,374
Pa,0.3329857473837952,0.0,0.5068411111543585,13
Pb,1.1925389880396742,1.310783678099714,0.6662656072716799,97
Pd,0.7572568078940689,0.9556998911125344,0.6036228068677084,96
Pm,0.1734467753474137,0.0,0.4636401126255425,21
Pr,1.0821472405544512,1.0986122886681096,0.5417301240555913,112
Pt,0.8453047801609423,1.0042424730540764,0.6149827367629561,67
Pu,0.9480044217667494,1.039720770839918,0.3259697880588144,13
Rb,1.1831786322476257,1.227274523001753,0.5447033829531622,146
Re,1.2132110582899711,1.4056329340793654,0.6417560457688192,44
Rh,0.7530304689794804,0.6931471805599453,0.7065143565616776,81
Ru,0.8183724606785491,1.0549201679861442,0.6394116230076928,75
S,1.2224217487748419,1.277034259466139,0.4762706044729559,332
Sb,1.1595337925035833,1.195722454932897,0.5805500568426621,176
Sc,0.889914447685147,0.9556998911125344,0.6076382788148119,65
Se,1.101820858199449,1.1822230016451067,0.5663353199704909,179
Si,1.2457322406774969,1.277034259466139,0.5787573110368209,301
Sm,1.0350517769782577,1.0549201679861442,0.596654711937356,113
Sn,1.0622921551437197,1.073383620336505,0.6092183076734425,171
Sr,1.2842954275302634,1.3321790402101223,0.5507521597519797,215
Ta,1.1931759696354267,1.3321790402101223,0.6381752545725212,83
Tb,1.210568818263633,1.0986122886681096,0.5306421031197173,68
Tc,0.202762633414255,0.0,0.38993799487105335,14
Te,1.2320033121324385,1.2730283365896256,0.6021575858400693,138
Th,0.6861634931957208,0.6365141682948128,0.6423045292093811,34
Ti,1.1074533553673587,1.105889879024763,0.6433177435421261,185
Tl,1.0241312217871528,1.0894798170280038,0.6140016062889859,94
Tm,0.8799221529208991,1.0549201679861442,0.65734981625345,64
U,1.1569610023469443,1.0986122886681096,0.5112635964603507,65
V,1.2703166675914737,1.3579778549873245,0.6001024552035881,287
W,1.1675310196497288,1.1766100638806596,0.582440111214553,108
Xe,1.4525928650017028,1.451952106893555,0.21932644816182875,7
Y,1.161668896218621,1.2130075659799042,0.6134549309450964,163
Yb,0.7169426124381394,0.9379862251776008,0.4996210819999131,28
Zn,0.8699616360069001,0.9556998911125344,0.612173861474978,176
Zr,1.005052537175548,1.0888999753452235,0.7017993066741073,105
